Year,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Benin,Bhutan,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Canada,Cape Verde,Chad,Chile,China,Colombia,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,French Guiana,French Indochina,French West Africa,Gabon,Georgia,Germany,Ghana,Greece,Guadeloupe,Guatemala,Guinea,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Iran,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Macedonia (Republic of),Madagascar,Malawi,Malaysia,Mali,Martinique,Mexico,Mongolia,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Bolivia,Poland,Portugal,Qatar,Cameroon,South Korea,Moldova,Sudan,Réunion,Romania,Russia,Rwanda,Ryukyu Islands,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,USA,Uruguay,USSR,Uzbekistan,Venezuela,Viet Nam,Yemen,Zambia,Zimbabwe,World
1910,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,0.0,,6911.58271981455,,0.0,,,0.0,,,0.0,
1911,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,0.0,,7072.9184828388,,0.0,,,0.0,,,0.0,
1912,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,0.0,,7413.68857204708,,0.0,,,0.0,,,0.0,
1913,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,0.0,,8270.52626221113,,0.0,,0.0,0.0,,,0.0,
1914,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,0.0,,7923.03384954351,,0.0,,0.0,0.0,,,0.0,
1915,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,0.0,,7714.64182230385,,0.0,,0.0,0.0,,,0.0,
1916,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,8216.74767453638,,0.0,,0.0,0.0,,,0.0,
1917,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,8317.58252642653,,0.0,,0.0,0.0,,,0.0,
1918,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,6366.04031599857,,0.0,,0.0,0.0,,,0.0,
1919,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,0.0,,7236.83975488588,,0.0,,0.0,0.0,,,0.0,
1920,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,8875.0182717475,,0.0,,0.0,0.0,,,0.0,
1921,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,8764.87558737518,,0.0,,0.0,0.0,,,0.0,
1922,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,10201.9015022611,,0.0,,0.0,0.0,,,0.0,
1923,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,12235.1457978103,,0.0,,0.0,0.0,,,0.0,
1924,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,13297.2729043866,,0.0,,0.0,0.0,,,0.0,
1925,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,0.0,,14118.9476718402,,0.0,,0.0,0.0,,,0.0,
1926,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,0.0,,14416.281209465,,0.0,,0.0,0.0,,,0.0,
1927,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,0.0,,14973.716954786,,0.0,,0.0,0.0,,,0.0,
1928,,0.0,25.4399886614173,,116.297091023622,3.76391460996038,377.965545826772,258.034170708661,7.59753134232743,,,0.0,0.0,21.8167643132889,1504.59361511811,,,11.2581005586592,,43.6114091338583,,54.5142614173228,,0.0,,868.593898582677,,,54.5142614173228,39.7858469291339,0.0,,,,134.001536444816,,,0.0,0.0,21.8057045669291,385.234114015748,,,0.0,43.6114091338583,,,5.71557403734724,,,138.102795590551,2096.98192251968,,79.9542500787402,,,4.73974432365381,3812.36401511811,,72.6856818897638,,,,,,,210.788477480315,,288.81981951618,0.0,0.0,0.0,0.0,,1519.13075149606,,1897.09629732283,,60.6408464938061,,,10.4553183610011,,3.76391460996038,,,,14.2192329709614,,39.4033519553073,,,0.0,,,105.394238740157,,29.0742727559055,7.26856818897638,0.0,0.0,,0.0,,101.759954645669,,,0.0,156.274216062992,,0.0,,,,25.4399886614173,32.7085568503937,0.0,541.50833007874,36.3428409448819,,,0.0,6.621701628634,0.0,,163.542784251969,584.870509114399,0.0,,,,155.92469273743,,,0.0,60.8590311353539,,0.0,763.19965984252,,,232.594182047244,312.548432125984,,0.0,3.76391460996038,,,0.0,,29.0742727559055,10.4553183610011,,190.565602659846,,2173.30188850394,,15322.2435710628,,941.279580472441,55.9011021701523,0.0,0.0,,,0.0,36269.8183679774
1929,,0.0,29.0742727559055,,174.445636535433,4.65280957319825,356.159841259842,287.108443464567,9.39178228664092,,,0.0,0.0,26.969062896501,1606.35356976378,,,0.0,,47.2456932283465,,76.319965984252,,0.0,,963.08528503937,,,72.6856818897638,76.5112440944882,0.0,,,,0.0,,,0.0,0.0,29.0742727559055,396.136966299213,,,0.0,87.2228182677166,,,7.06537750004179,,,138.102795590551,2860.1815823622,,90.8571023622047,,,5.85909353662003,3561.59841259843,,76.319965984252,,,,,,,199.88562519685,,292.570726263144,72.6856818897638,0.0,0.0,0.0,,1729.91922897638,,2111.51905889764,,74.9619320126385,,,12.9244710366618,,4.65280957319825,,,,17.5772806098601,,0.0,,,0.0,,,112.662806929134,,32.7085568503937,10.9028522834646,0.0,0.0,,105.394238740157,,98.1256705511811,,,0.0,156.274216062992,,0.0,,,,25.4399886614173,36.3428409448819,0.0,497.896920944882,43.6114091338583,,,0.0,8.18549832321915,0.0,,156.274216062992,722.994909790862,0.0,,,,0.0,,,0.0,0.0,,178.079920629921,901.302455433071,,,283.474159370079,341.62270488189,,0.0,4.65280957319825,,,0.0,,32.7085568503937,12.9244710366618,,235.570025428223,,2355.01609322835,,14903.3911093652,,1170.2394784252,69.1028384760185,0.0,0.0,,,0.0,37994.017238463
1930,,0.0,32.7085568503937,,188.982772913386,6.11115287226039,348.891273070866,298.011295748032,12.3354752421552,,,0.0,0.0,35.4220527595834,1508.2278992126,,,0.0,,43.6114091338583,0.0,87.2228182677165,,0.0,,926.742444094488,,,79.9542500787401,73.4507943307087,0.0,,,,0.0,,,418.156452283465,0.0,32.7085568503937,385.234114015748,,,0.0,149.005647874016,,,9.27989880602504,,,101.759954645669,2467.67890015748,,83.5885341732284,,,7.69552583914272,2802.03303685039,,87.2228182677165,,,,,,,163.542784251969,,292.570726263144,69.0513977952756,0.0,0.0,0.0,39.9771250393701,1722.6506607874,,1853.48488818898,,98.457462941973,,,16.9754246451678,,6.11115287226039,,,,23.0865775174281,,0.0,,,0.0,,,0.0,,36.3428409448819,10.9028522834646,0.0,0.0,,109.028522834646,,94.4913864566929,,,0.0,159.90850015748,,0.0,,,,10.9028522834646,50.8799773228346,0.0,410.674102677165,47.2456932283465,,,0.0,10.7511022752729,0.0,,196.251341102362,949.605254650685,0.0,,,,0.0,,,174.23185511811,0.0,,0.0,908.571023622047,,,301.64557984252,388.868398110236,,0.0,6.11115287226039,,,0.0,,29.0742727559055,16.9754246451678,,309.405406532591,,2525.82744566929,,14198.0642479387,,1540.93645606299,90.7619371028303,0.0,0.0,,,0.0,37049.401461130896
