Year,AUS,AUT,BEL,BGR,BLR,CAN,CHE,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ISL,ITA,JPN,KAZ,LIE,LTU,LUX,LVA,MLT,NLD,NOR,NZL,POL,PRT,ROU,RUS,SVK,SVN,SWE,TUR,UKR,USA
2004,3554.645056,1790.0,2837.04753,1415.93527630399,1293.78942,7515.0667377504,1752.2320612189,807.692,1626.76429788088,13929.04713,1458.926,16292.143058,364.802383276711,528.846158563297,9064.84163120923,5976.62966252001,6363.900781012,1470.38176591161,1289.29916678938,2295.081,49.79086126875,17407.9359285422,31276.1899834208,901.6187,0.0,351.024167144266,451.5112302696,134.16883725625,0.0,445.866,716.396,487.54429329856,5070.0562,4003.88555418962,2992.09008897887,20915.3481805714,1216.84169532801,473.211076147896,1284.426854978,17207.1837350144,4264.07022,45885.580950428
2005,3664.126688,1797.48,2933.95309,1586.36230996263,1457.44434,7599.11562879137,1847.4561777757,821.808,1624.53366,12920.59811,1363.377,16791.774036,372.883125902844,542.21246,9108.28453820269,5941.16315334667,6791.11516028978,1499.85503545076,1198.9397491,2357.05522011,53.94897585,17403.2194102613,32279.645554026,927.8771,0.0,383.313,443.2104130678,134.455932255936,0.0,420.721,779.915,576.64373216432,5057.14221,4087.6298,3174.80798770029,22256.0304685714,1256.39803855956,486.733219250613,1315.1049647203,19117.008126562,4785.32082,46194.121028709
2006,3888.061568,1954.142,3111.96868,1519.29527551953,1561.84848,7742.18577242552,1852.7453329691,821.001,1748.45456908106,13208.17876,1395.466,16744.748886,413.696214823311,573.8982646,9165.70132219702,5892.78014438667,6599.21817791465,1588.04169793992,1295.85392134,2347.85117096786,61.047697095,17473.8646430873,31990.8738717745,1470.676,0.0,515.276,438.7411558014,168.58759561707,0.0,399.936,804.52035,544.7540324136,5983.742,4000.136,3655.57009679296,24544.5642514286,1389.14752372861,511.556728145849,1442.26029033581,20840.5348522298,5484.27684,46850.7442644437
2007,3971.54744416,2130.776,3087.42303,1940.54563284709,1617.76998,7745.25639755742,1885.0116487085,812.413,2043.0810083196,14306.01387,1407.086,16823.910075,596.71615450039,605.4675055,9334.06330890355,6117.01500000001,6406.63147340676,1611.87998814998,1328.095705,2374.05629723679,63.172091884,17913.9862265394,30658.3499379162,1898.083,0.0,524.055,433.3368578576,170.734184407079,0.0,402.967,868.83,687.30207523,7050.407,4165.777996,4053.97538788988,27644.8361828571,1484.93253318064,542.903391828877,1339.47738532354,22779.5565063464,6164.169672,45508.8810909415
2008,3862.907552,2132.968,3032.53291,1862.43862085016,1812.58488,6983.86614668299,1857.8616539863,818.201,1996.14869291389,13444.07487,1154.749,14389.498377,602.72153885124,619.774121,8879.58403152867,5202.562,6053.53337260382,1526.86705644433,1260.647849,2106.7332656067,60.82784136,16127.2091026676,28552.5614802935,1741.082,0.0,453.817,403.858468816,167.478932438125,0.0,398.93733,832.63741,639.0924749203,6692.9931,4011.64012180152,4142.66389789389,23625.3654308571,1603.85939839458,593.026104762484,1396.012220152,24836.8864779756,6293.77689,41415.652092903
2009,3829.016896,1798.59,2795.20248,982.972455727531,1873.55232,5391.03933339082,1848.1378529427,673.105,1566.07505923013,12312.75171,764.407,11401.950912,257.000171479858,385.280114,7679.22875147583,3720.4821155894,4581.72258236753,1224.17414710984,972.707283,1326.77576754352,28.0970211888,13340.6827138461,25308.4817189678,1494.267,0.0,284.023,378.0564236064,176.177971107712,0.0,416.2114,841.93371,586.0488,5757.2379,3222.52816892027,3093.07360949484,19746.3716434286,1213.14953755415,421.514772343581,1263.16454783556,26557.9365866259,2590.089264,29614.6444782454
2010,3548.614816,1622.129,2582.48625,807.286932704377,1962.35046,6039.28044025073,1954.9670866536,555.051,1469.27396686408,12187.73743,672.224,11197.402656,310.433468901819,525.706098949,7887.5415317117,3792.00991242134,4208.59669973974,1198.25960871742,735.350804,1105.10895308782,9.9238686408,13276.0153679061,24321.2709374214,2454.837,0.0,289.0447714,391.4916709817,428.873358081344,0.0,348.1863,754.02975,557.421,6221.4942,3376.28648205411,2777.89269527177,22688.0286788571,859.918781173461,358.348769072707,1323.6795311136,29283.9859180231,2881.962468,31449.2352303852
2011,3495.53217184,1665.68,2761.5523,787.297644586184,1957.7727,6057.45232181551,1925.3474955193,546.043,1664.53099094638,13130.65195,861.805,9522.6894,416.119360883914,557.82763722,8065.2480440053,4095.7263011358,2430.42610843208,1050.36075994453,563.61960369,966.273480575567,19.647320847,12583.285140688,24982.8955266503,2709.07,0.0,319.8435064,411.1171837632,555.134859546136,0.0,350.954627,748.928,528.52724,7379.39438,2813.21775806613,3088.84108717808,25090.2794057143,1261.79061785532,305.827365863239,1361.02567346451,30526.9271135144,3901.123212,32208.3582897646
2012,3518.23737456,1672.547,2642.58735,981.292366508107,2182.44708,6562.16785377678,1807.6189736658,504.536,1517.02800346283,13028.07893,871.083,8754.20412,407.444,497.16269656,7501.86008707807,3723.95444341688,3099.30334549728,1017.11109086,678.4212065,1177.02155511746,0.0,10071.460405574,25624.795338608,2678.496,0.0,395.1913024,374.85918558,572.334050469517,0.0,308.087,725.425,568.62684,6384.30071,2550.35065016173,3150.25027905488,26251.6327542857,1095.92530466681,315.82008485974,1479.0222257761,30449.0954461914,3281.46135659238,35270.3454072753
2013,3294.41981757333,1656.40530801911,2541.37442,891.633203159049,2370.08322,5981.8803001264,1832.895703559,752.294,1331.78759124453,12257.82265628,867.063,7642.35595,399.050244206825,481.771774957,7299.551,4029.10961921,3638.95673928232,1141.02701264033,515.881,1111.7464175454,0.0,8877.1826729119,26805.206128279,3021.823,0.0,460.7892,365.4274953,537.643730311276,0.0,274.032,730.642,586.33585,5874.227905,2814.23384423475,2694.532688,27198.5379222857,1135.27,391.087066634863,1392.360244,32994.7532520545,3396.78768,36369.2267653352
2014,3137.5666682912,1638.9910679965,2642.98243,911.122994772077,2653.17606,5945.50610182454,1879.6661345446,973.762,1476.736,12651.5611,887.302,8896.821001,421.883883118143,468.797114642,6974.6197,4214.81410044,3821.92549366246,1225.08719752688,565.710284247746,1461.12164494414,0.0,8338.58677946706,26557.3752367273,3201.4497,0.0,400.828493,359.5473998,555.86161875319,0.0,282.30261,727.225,619.46069,6456.41630212873,3095.98759901629,2943.945919,26372.9203131429,1266.76,418.280119284667,1396.1105541,33471.6926972131,3299.18649306169,39439.0184379458
2015,3076.1562267328,1701.49683188438,2348.12607,1105.4338922657,2259.2286,6263.21543122543,1714.7866244666,877.127,1549.543,12377.99418,931.502,9216.019,205.6122239,462.145814711,6606.09357,4460.56881957247,3467.28083086776,1169.2347,675.693439296021,1652.01447642575,0.0,8196.15149041166,25936.250183604,3404.8698,0.0,518.31458,329.47343845,466.713470207861,0.0,249.423747,671.513,620.71166,6341.8083,2921.23616377244,3337.467323,23065.8233897143,1308.56988933463,367.20789696432,1526.5353687,32618.6563030332,3277.51962908558,39907.2917439372
